"query","variant","run","temp","query_duration_ms","read_rows","read_bytes","cpu_us"
"Q3","v4_percolumn_zstd","5","cold",80,20004864,340082688,829875
"Q3","v4_percolumn_zstd","5","warm",98,20004864,340082688,865319
"Q3","v5_aggressive","1","cold",75,20004864,340082688,827787
"Q3","v5_aggressive","1","warm",94,20004864,340082688,862035
"Q3","v5_aggressive","2","cold",78,20004864,340082688,838797
"Q3","v5_aggressive","2","warm",76,20004864,340082688,867574
"Q3","v5_aggressive","3","cold",81,20004864,340082688,866764
"Q3","v5_aggressive","3","warm",81,20004864,340082688,858087
"Q3","v5_aggressive","4","cold",77,20004864,340082688,832448
"Q3","v5_aggressive","4","warm",80,20004864,340082688,859428
"Q3","v5_aggressive","5","cold",76,20004864,340082688,808103
"Q3","v5_aggressive","5","warm",75,20004864,340082688,843742
