"query","distribution","variant","run","temp","query_duration_ms","read_rows","read_bytes","cpu_us"
"DQ1","sinus","v4","1","cold",9,614400,7372800,38700
"DQ1","sinus","v4","1","warm",9,614400,7372800,36285
"DQ1","sinus","v4","2","cold",10,614400,7372800,37185
"DQ1","sinus","v4","2","warm",9,614400,7372800,37922
"DQ1","sinus","v4","3","cold",10,614400,7372800,40563
"DQ1","sinus","v4","3","warm",13,614400,7372800,40333
"DQ1","sinus","v5","1","cold",10,614400,7372800,39716
"DQ1","sinus","v5","1","warm",9,614400,7372800,38903
"DQ1","sinus","v5","2","cold",14,614400,7372800,42288
"DQ1","sinus","v5","2","warm",11,614400,7372800,40552
"DQ1","sinus","v5","3","cold",9,614400,7372800,36791
"DQ1","sinus","v5","3","warm",11,614400,7372800,36700
"DQ1","spiky","v1","1","cold",7,614400,2556000,18484
"DQ1","spiky","v1","1","warm",9,614400,2556000,19590
"DQ1","spiky","v1","2","cold",8,614400,2556000,20316
"DQ1","spiky","v1","2","warm",6,614400,2556000,17400
"DQ1","spiky","v1","3","cold",7,614400,2556000,18464
"DQ1","spiky","v1","3","warm",6,614400,2556000,16634
"DQ1","spiky","v2","1","cold",8,614400,2556000,26650
"DQ1","spiky","v2","1","warm",7,614400,2556000,23948
"DQ1","spiky","v2","2","cold",8,614400,2556000,20985
"DQ1","spiky","v2","2","warm",8,614400,2556000,22077
"DQ1","spiky","v2","3","cold",10,614400,2556000,22802
"DQ1","spiky","v2","3","warm",8,614400,2556000,21920
"DQ1","spiky","v3","1","cold",7,614400,2556000,21583
"DQ1","spiky","v3","1","warm",7,614400,2556000,20168
"DQ1","spiky","v3","2","cold",8,614400,2556000,22635
"DQ1","spiky","v3","2","warm",8,614400,2556000,20868
"DQ1","spiky","v3","3","cold",8,614400,2556000,20085
"DQ1","spiky","v3","3","warm",7,614400,2556000,18620
"DQ1","spiky","v4","1","cold",7,614400,2556000,19640
"DQ1","spiky","v4","1","warm",9,614400,2556000,22004
"DQ1","spiky","v4","2","cold",8,614400,2556000,22859
"DQ1","spiky","v4","2","warm",8,614400,2556000,21616
"DQ1","spiky","v4","3","cold",7,614400,2556000,21494
"DQ1","spiky","v4","3","warm",7,614400,2556000,18803
"DQ1","spiky","v5","1","cold",7,614400,2556000,22041
"DQ1","spiky","v5","1","warm",8,614400,2556000,19985
"DQ1","spiky","v5","2","cold",8,614400,2556000,21221
"DQ1","spiky","v5","2","warm",7,614400,2556000,20035
"DQ1","spiky","v5","3","cold",7,614400,2556000,20380
"DQ1","spiky","v5","3","warm",7,614400,2556000,21449
"DQ2","monotone","v1","1","cold",47,10000000,160000000,248465
"DQ2","monotone","v1","1","warm",26,10000000,160000000,233990
"DQ2","monotone","v1","2","cold",26,10000000,160000000,236815
"DQ2","monotone","v1","2","warm",24,10000000,160000000,237630
"DQ2","monotone","v1","3","cold",29,10000000,160000000,244590
"DQ2","monotone","v1","3","warm",28,10000000,160000000,240684
"DQ2","monotone","v2","1","cold",40,10000000,160000000,337747
"DQ2","monotone","v2","1","warm",40,10000000,160000000,382177
"DQ2","monotone","v2","2","cold",34,10000000,160000000,349824
"DQ2","monotone","v2","2","warm",35,10000000,160000000,343920
"DQ2","monotone","v2","3","cold",37,10000000,160000000,360003
"DQ2","monotone","v2","3","warm",37,10000000,160000000,339840
"DQ2","monotone","v3","1","cold",35,10000000,160000000,350075
"DQ2","monotone","v3","1","warm",33,10000000,160000000,353563
"DQ2","monotone","v3","2","cold",38,10000000,160000000,364363
"DQ2","monotone","v3","2","warm",41,10000000,160000000,393141
"DQ2","monotone","v3","3","cold",39,10000000,160000000,390535
"DQ2","monotone","v3","3","warm",38,10000000,160000000,356009
"DQ2","monotone","v4","1","cold",22,10000000,160000000,199811
"DQ2","monotone","v4","1","warm",24,10000000,160000000,198878
"DQ2","monotone","v4","2","cold",23,10000000,160000000,218975
"DQ2","monotone","v4","2","warm",22,10000000,160000000,206156
"DQ2","monotone","v4","3","cold",26,10000000,160000000,240225
"DQ2","monotone","v4","3","warm",22,10000000,160000000,220167
"DQ2","monotone","v5","1","cold",22,10000000,160000000,211158
"DQ2","monotone","v5","1","warm",27,10000000,160000000,208935
"DQ2","monotone","v5","2","cold",21,10000000,160000000,192795
"DQ2","monotone","v5","2","warm",24,10000000,160000000,208551
"DQ2","monotone","v5","3","cold",27,10000000,160000000,217151
"DQ2","monotone","v5","3","warm",23,10000000,160000000,214903
"DQ2","random","v1","1","cold",23,10000000,160000000,61076
"DQ2","random","v1","1","warm",24,10000000,160000000,63696
"DQ2","random","v1","2","cold",24,10000000,160000000,63467
"DQ2","random","v1","2","warm",25,10000000,160000000,67521
"DQ2","random","v1","3","cold",16,10000000,160000000,80875
"DQ2","random","v1","3","warm",13,10000000,160000000,79328
"DQ2","random","v2","1","cold",11,10000000,160000000,82401
"DQ2","random","v2","1","warm",13,10000000,160000000,85600
"DQ2","random","v2","2","cold",14,10000000,160000000,97040
"DQ2","random","v2","2","warm",13,10000000,160000000,86086
"DQ2","random","v2","3","cold",12,10000000,160000000,83481
"DQ2","random","v2","3","warm",16,10000000,160000000,98672
"DQ2","random","v3","1","cold",30,10000000,160000000,268806
"DQ2","random","v3","1","warm",82,10000000,160000000,236470
"DQ2","random","v3","2","cold",90,10000000,160000000,261915
"DQ2","random","v3","2","warm",90,10000000,160000000,254848
"DQ2","random","v3","3","cold",86,10000000,160000000,248602
"DQ2","random","v3","3","warm",82,10000000,160000000,234278
"DQ2","random","v4","1","cold",37,10000000,160000000,274080
"DQ2","random","v4","1","warm",32,10000000,160000000,301219
"DQ2","random","v4","2","cold",34,10000000,160000000,287336
"DQ2","random","v4","2","warm",31,10000000,160000000,286101
"DQ2","random","v4","3","cold",35,10000000,160000000,282840
"DQ2","random","v4","3","warm",33,10000000,160000000,289529
"DQ2","random","v5","1","cold",39,10000000,160000000,286133
"DQ2","random","v5","1","warm",38,10000000,160000000,293145
"DQ2","sinus","v1","1","cold",18,10000000,160000000,168737
"DQ2","sinus","v1","1","warm",18,10000000,160000000,164017
"DQ2","sinus","v1","2","cold",22,10000000,160000000,189683
"DQ2","sinus","v1","2","warm",19,10000000,160000000,159129
"DQ2","sinus","v1","3","cold",19,10000000,160000000,170514
"DQ2","sinus","v1","3","warm",17,10000000,160000000,160581
"DQ2","sinus","v2","1","cold",37,10000000,160000000,313965
"DQ2","sinus","v2","1","warm",38,10000000,160000000,327011
"DQ2","sinus","v2","2","cold",32,10000000,160000000,327369
"DQ2","sinus","v2","2","warm",33,10000000,160000000,322458
"DQ2","sinus","v2","3","cold",34,10000000,160000000,330578
"DQ2","sinus","v2","3","warm",35,10000000,160000000,334748
"DQ2","sinus","v3","1","cold",44,10000000,160000000,457145
"DQ2","sinus","v3","1","warm",47,10000000,160000000,503015
"DQ2","sinus","v3","2","cold",45,10000000,160000000,453017
"DQ2","sinus","v3","2","warm",48,10000000,160000000,493983
"DQ2","sinus","v3","3","cold",46,10000000,160000000,460805
"DQ2","sinus","v3","3","warm",44,10000000,160000000,456163
"DQ2","sinus","v4","1","cold",36,10000000,160000000,375020
"DQ2","sinus","v4","1","warm",38,10000000,160000000,362138
"DQ2","sinus","v4","2","cold",37,10000000,160000000,372946
"DQ2","sinus","v4","2","warm",39,10000000,160000000,389534
"DQ2","sinus","v4","3","cold",39,10000000,160000000,362715
"DQ2","sinus","v4","3","warm",40,10000000,160000000,357831
"DQ2","sinus","v5","1","cold",40,10000000,160000000,399822
"DQ2","sinus","v5","1","warm",37,10000000,160000000,356140
"DQ2","sinus","v5","2","cold",42,10000000,160000000,397324
"DQ2","sinus","v5","2","warm",47,10000000,160000000,412234
"DQ2","sinus","v5","3","cold",39,10000000,160000000,368576
"DQ2","sinus","v5","3","warm",38,10000000,160000000,378042
"DQ2","spiky","v1","1","cold",18,10000000,81603936,130643
"DQ2","spiky","v1","1","warm",17,10000000,81603936,133661
"DQ2","spiky","v1","2","cold",21,10000000,81603936,139554
"DQ2","spiky","v1","2","warm",19,10000000,81603936,134727
"DQ2","spiky","v1","3","cold",17,10000000,81603936,132581
"DQ2","spiky","v1","3","warm",15,10000000,81603936,135649
"DQ2","spiky","v2","1","cold",22,10000000,81603936,176492
"DQ2","spiky","v2","1","warm",21,10000000,81603936,171586
"DQ2","spiky","v2","2","cold",24,10000000,81603936,197643
"DQ2","spiky","v2","2","warm",23,10000000,81603936,202705
"DQ2","spiky","v2","3","cold",23,10000000,81603936,210430
"DQ2","spiky","v2","3","warm",25,10000000,81603936,181267
"DQ2","spiky","v3","1","cold",31,10000000,81603936,260169
"DQ2","spiky","v3","1","warm",30,10000000,81603936,259555
"DQ2","spiky","v3","2","cold",31,10000000,81603936,257937
"DQ2","spiky","v3","2","warm",28,10000000,81603936,260633
"DQ2","spiky","v3","3","cold",32,10000000,81603936,255482
"DQ2","spiky","v3","3","warm",30,10000000,81603936,264759
"DQ2","spiky","v4","1","cold",12,10000000,81603936,78477
"DQ2","spiky","v4","1","warm",11,10000000,81603936,78371
"DQ2","spiky","v4","2","cold",11,10000000,81603936,74548
"DQ2","spiky","v4","2","warm",14,10000000,81603936,77651
"DQ2","spiky","v4","3","cold",14,10000000,81603936,84227
"DQ2","spiky","v4","3","warm",11,10000000,81603936,80250
"DQ2","spiky","v5","1","cold",15,10000000,81603936,76332
"DQ2","spiky","v5","1","warm",13,10000000,81603936,77776
"DQ2","spiky","v5","2","cold",12,10000000,81603936,83800
"DQ2","spiky","v5","2","warm",16,10000000,81603936,79785
"DQ2","spiky","v5","3","cold",23,10000000,81603936,61912
"DQ2","spiky","v5","3","warm",26,10000000,81603936,69508
