variant,batch_size,run,elapsed_ms,rows_per_sec
v3_percolumn,1000000,3,209,4784688
v3_percolumn,1000000,4,207,4830917
v3_percolumn,1000000,5,207,4830917
v3_percolumn,1000000,6,191,5235602
v3_percolumn,1000000,7,197,5076142
v3_percolumn,1000000,8,217,4608294
v3_percolumn,1000000,9,220,4545454
v3_percolumn,1000000,10,193,5181347
v4_percolumn_zstd,10000,1,66,151515
v4_percolumn_zstd,10000,2,68,147058
v4_percolumn_zstd,10000,3,78,128205
v4_percolumn_zstd,10000,4,72,138888
v4_percolumn_zstd,10000,5,82,121951
v4_percolumn_zstd,10000,6,66,151515
v4_percolumn_zstd,10000,7,79,126582
v4_percolumn_zstd,10000,8,66,151515
v4_percolumn_zstd,10000,9,70,142857
v4_percolumn_zstd,10000,10,73,136986
v4_percolumn_zstd,100000,1,85,1176470
v4_percolumn_zstd,100000,2,82,1219512
v4_percolumn_zstd,100000,3,88,1136363
v4_percolumn_zstd,100000,4,88,1136363
v4_percolumn_zstd,100000,5,86,1162790
v4_percolumn_zstd,100000,6,79,1265822
v4_percolumn_zstd,100000,7,80,1250000
v4_percolumn_zstd,100000,8,79,1265822
v4_percolumn_zstd,100000,9,85,1176470
v4_percolumn_zstd,100000,10,81,1234567
v4_percolumn_zstd,1000000,1,194,5154639
v4_percolumn_zstd,1000000,2,220,4545454
v4_percolumn_zstd,1000000,3,214,4672897
v4_percolumn_zstd,1000000,4,200,5000000
v4_percolumn_zstd,1000000,5,203,4926108
v4_percolumn_zstd,1000000,6,199,5025125
v4_percolumn_zstd,1000000,7,222,4504504
v4_percolumn_zstd,1000000,8,204,4901960
v4_percolumn_zstd,1000000,9,197,5076142
v4_percolumn_zstd,1000000,10,193,5181347
v5_aggressive,10000,1,79,126582
v5_aggressive,10000,2,69,144927
v5_aggressive,10000,3,69,144927
v5_aggressive,10000,4,82,121951
v5_aggressive,10000,5,72,138888
v5_aggressive,10000,6,75,133333
v5_aggressive,10000,7,67,149253
v5_aggressive,10000,8,75,133333
v5_aggressive,10000,9,73,136986
v5_aggressive,10000,10,73,136986
v5_aggressive,100000,1,95,1052631
v5_aggressive,100000,2,90,1111111
v5_aggressive,100000,3,93,1075268
v5_aggressive,100000,4,82,1219512
v5_aggressive,100000,5,87,1149425
v5_aggressive,100000,6,88,1136363
v5_aggressive,100000,7,88,1136363
v5_aggressive,100000,8,85,1176470
v5_aggressive,100000,9,91,1098901
v5_aggressive,100000,10,89,1123595
v5_aggressive,1000000,1,278,3597122
v5_aggressive,1000000,2,285,3508771
v5_aggressive,1000000,3,310,3225806
v5_aggressive,1000000,4,283,3533568
v5_aggressive,1000000,5,305,3278688
v5_aggressive,1000000,6,279,3584229
v5_aggressive,1000000,7,263,3802281
v5_aggressive,1000000,8,257,3891050
v5_aggressive,1000000,9,321,3115264
v5_aggressive,1000000,10,270,3703703
