query,variant,size,run,cache,elapsed_ms,rows_read,bytes_read
Q3,proj,10M,5,warm,10,437916,17955789
Q3,mv,10M,5,warm,9,437930,17955130
Q3,base,10M,6,warm,17,10000000,50000000
Q3,proj,10M,6,warm,13,437916,17955789
Q3,mv,10M,6,warm,8,437930,17955130
Q3,base,10M,7,warm,18,10000000,50000000
Q3,proj,10M,7,warm,10,437916,17955789
Q3,mv,10M,7,warm,10,437930,17955130
Q3,base,10M,8,warm,16,10000000,50000000
Q3,proj,10M,8,warm,9,437916,17955789
Q3,mv,10M,8,warm,8,437930,17955130
Q3,base,10M,9,warm,18,10000000,50000000
Q3,proj,10M,9,warm,9,437916,17955789
Q3,mv,10M,9,warm,8,437930,17955130
Q3,base,10M,10,warm,15,10000000,50000000
Q3,proj,10M,10,warm,10,437916,17955789
Q3,mv,10M,10,warm,8,437930,17955130
Q3,base,50M,1,cold,132,50000000,287351806
Q3,proj,50M,1,cold,67,8730920,364503184
Q3,mv,50M,1,cold,63,8731079,364509862
Q3,base,50M,2,cold,125,50000000,287351806
Q3,proj,50M,2,cold,65,8730920,364503184
Q3,mv,50M,2,cold,67,8731079,364509862
Q3,base,50M,3,cold,134,50000000,287351806
Q3,proj,50M,3,cold,64,8730920,364503184
Q3,mv,50M,3,cold,65,8731079,364509862
Q3,base,50M,4,cold,139,50000000,287351806
Q3,proj,50M,4,cold,69,8730920,364503184
Q3,mv,50M,4,cold,74,8731079,364509862
Q3,base,50M,5,cold,125,50000000,287351806
Q3,proj,50M,5,cold,65,8730920,364503184
Q3,mv,50M,5,cold,63,8731079,364509862
Q3,base,50M,6,cold,137,50000000,287351806
Q3,proj,50M,6,cold,63,8730920,364503184
Q3,mv,50M,6,cold,70,8731079,364509862
Q3,base,50M,7,cold,123,50000000,287351806
Q3,proj,50M,7,cold,62,8730920,364503184
Q3,mv,50M,7,cold,67,8731079,364509862
Q3,base,50M,8,cold,141,50000000,287351806
Q3,proj,50M,8,cold,69,8730920,364503184
Q3,mv,50M,8,cold,68,8731079,364509862
Q3,base,50M,9,cold,135,50000000,287351806
Q3,proj,50M,9,cold,62,8730920,364503184
Q3,mv,50M,9,cold,65,8731079,364509862
Q3,base,50M,10,cold,139,50000000,287351806
Q3,proj,50M,10,cold,64,8730920,364503184
Q3,mv,50M,10,cold,69,8731079,364509862
Q3,base,50M,1,warm,44,50000000,287351806
Q3,proj,50M,1,warm,40,8730920,364503184
Q3,mv,50M,1,warm,38,8731079,364509862
Q3,base,50M,2,warm,45,50000000,287351806
Q3,proj,50M,2,warm,37,8730920,364503184
Q3,mv,50M,2,warm,38,8731079,364509862
Q3,base,50M,3,warm,48,50000000,287351806
Q3,proj,50M,3,warm,37,8730920,364503184
Q3,mv,50M,3,warm,36,8731079,364509862
Q3,base,50M,4,warm,51,50000000,287351806
Q3,proj,50M,4,warm,36,8730920,364503184
Q3,mv,50M,4,warm,36,8731079,364509862
Q3,base,50M,5,warm,47,50000000,287351806
Q3,proj,50M,5,warm,36,8730920,364503184
Q3,mv,50M,5,warm,36,8731079,364509862
Q3,base,50M,6,warm,46,50000000,287351806
Q3,proj,50M,6,warm,38,8730920,364503184
Q3,mv,50M,6,warm,45,8731079,364509862
Q3,base,50M,7,warm,48,50000000,287351806
Q3,proj,50M,7,warm,38,8730920,364503184
Q3,mv,50M,7,warm,34,8731079,364509862
Q3,base,50M,8,warm,47,50000000,287351806
Q3,proj,50M,8,warm,36,8730920,364503184
Q3,mv,50M,8,warm,40,8731079,364509862
Q3,base,50M,9,warm,52,50000000,287351806
Q3,proj,50M,9,warm,38,8730920,364503184
Q3,mv,50M,9,warm,35,8731079,364509862
Q3,base,50M,10,warm,45,50000000,287351806
Q3,proj,50M,10,warm,35,8730920,364503184
Q3,mv,50M,10,warm,48,8731079,364509862
