model,question_id,tier,run,score,error_type,error_msg,llm_sql,reference_sql,tokens_in,tokens_out,cost_usd,latency_ms
claude-opus-4.6,t6_04,6,2,3,,,"SELECT
    u.user_id,
    e.timestamp AS first_event_time
FROM users AS u
ASOF JOIN events AS e ON u.user_id = e.user_id AND u.created_at <= e.timestamp
WHERE u.user_id BETWEEN 1 AND 20
ORDER BY u.user_id ASC","SELECT u.user_id AS user_id, e.timestamp AS first_event_time FROM users AS u ASOF JOIN events AS e ON u.user_id = e.user_id AND e.timestamp >= u.created_at WHERE u.user_id <= 20 ORDER BY u.user_id",495,88,0.014025,3734.7
claude-opus-4.6,t6_04,6,3,3,,,"SELECT
    u.user_id,
    e.timestamp AS first_event_time
FROM users AS u
ASOF LEFT JOIN events AS e
ON u.user_id = e.user_id AND u.created_at <= e.timestamp
WHERE u.user_id BETWEEN 1 AND 20
ORDER BY u.user_id ASC","SELECT u.user_id AS user_id, e.timestamp AS first_event_time FROM users AS u ASOF JOIN events AS e ON u.user_id = e.user_id AND e.timestamp >= u.created_at WHERE u.user_id <= 20 ORDER BY u.user_id",495,90,0.014175,4648.1
claude-opus-4.6,t6_05,6,1,3,,,"SELECT
    event_type,
    event_id,
    timestamp
FROM events
ORDER BY event_type ASC, timestamp DESC
LIMIT 2 BY event_type","SELECT event_type, event_id, timestamp FROM events ORDER BY event_type ASC, timestamp DESC LIMIT 2 BY event_type",486,48,0.01089,3051.8
claude-opus-4.6,t6_05,6,2,3,,,"SELECT
    event_type,
    event_id,
    timestamp
FROM events
ORDER BY event_type ASC, timestamp DESC
LIMIT 2 BY event_type","SELECT event_type, event_id, timestamp FROM events ORDER BY event_type ASC, timestamp DESC LIMIT 2 BY event_type",486,48,0.01089,4431.3
claude-opus-4.6,t6_05,6,3,3,,,"SELECT
    event_type,
    event_id,
    timestamp
FROM events
ORDER BY event_type ASC, timestamp DESC
LIMIT 2 BY event_type","SELECT event_type, event_id, timestamp FROM events ORDER BY event_type ASC, timestamp DESC LIMIT 2 BY event_type",486,48,0.01089,2264.5
claude-opus-4.6,t6_06,6,1,3,,,"SELECT
    toDate(timestamp) AS day,
    sum(revenue_cents) AS revenue
FROM events
WHERE event_type = 'purchase'
  AND revenue_cents > 9950
  AND timestamp >= '2024-01-01'
  AND timestamp < '2024-02-01'
GROUP BY day
ORDER BY day ASC
WITH FILL FROM toDate('2024-01-01') TO toDate('2024-02-01')
INTERPOLATE (revenue AS revenue)","SELECT toDate(timestamp) AS day, sum(revenue_cents) AS revenue FROM events WHERE event_type = 'purchase' AND revenue_cents > 9950 AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY day ORDER BY day ASC WITH FILL FROM toDate('2024-01-01') TO toDate('2024-02-01') INTERPOLATE (revenue AS revenue)",518,123,0.016995,3456.7
claude-opus-4.6,t6_06,6,2,3,,,"SELECT
    toDate(timestamp) AS day,
    sum(revenue_cents) AS revenue
FROM events
WHERE event_type = 'purchase'
  AND revenue_cents > 9950
  AND timestamp >= '2024-01-01'
  AND timestamp < '2024-02-01'
GROUP BY day
ORDER BY day ASC
WITH FILL FROM toDate('2024-01-01') TO toDate('2024-02-01')
INTERPOLATE (revenue AS revenue)","SELECT toDate(timestamp) AS day, sum(revenue_cents) AS revenue FROM events WHERE event_type = 'purchase' AND revenue_cents > 9950 AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY day ORDER BY day ASC WITH FILL FROM toDate('2024-01-01') TO toDate('2024-02-01') INTERPOLATE (revenue AS revenue)",518,123,0.016995,3297.7
claude-opus-4.6,t6_06,6,3,3,,,"SELECT
    toDate(timestamp) AS day,
    sum(revenue_cents) AS revenue
FROM events
WHERE event_type = 'purchase'
  AND revenue_cents > 9950
  AND timestamp >= '2024-01-01'
  AND timestamp < '2024-02-01'
GROUP BY day
ORDER BY day ASC
WITH FILL FROM toDate('2024-01-01') TO toDate('2024-02-01')
INTERPOLATE (revenue AS revenue)","SELECT toDate(timestamp) AS day, sum(revenue_cents) AS revenue FROM events WHERE event_type = 'purchase' AND revenue_cents > 9950 AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY day ORDER BY day ASC WITH FILL FROM toDate('2024-01-01') TO toDate('2024-02-01') INTERPOLATE (revenue AS revenue)",518,123,0.016995,3626.6
claude-opus-4.6,t6_07,6,1,3,,,"SELECT countResample(0, 24, 6)(1, toHour(timestamp)) AS counts
FROM events","SELECT countResample(0, 24, 6)(toHour(timestamp)) AS buckets FROM events",498,34,0.01002,3203.1
claude-opus-4.6,t6_07,6,2,3,,,"SELECT countResample(0, 24, 6)(1, toHour(timestamp)) AS counts
FROM events","SELECT countResample(0, 24, 6)(toHour(timestamp)) AS buckets FROM events",498,34,0.01002,4107.0
claude-opus-4.6,t6_07,6,3,3,,,"SELECT countResample(0, 24, 6)(1, toHour(timestamp)) AS counts
FROM events","SELECT countResample(0, 24, 6)(toHour(timestamp)) AS buckets FROM events",498,34,0.01002,2656.3
claude-opus-4.6,t6_08,6,1,3,,,"SELECT arrayCumSum(groupArray(daily_count)) AS cumulative_purchases
FROM
(
    SELECT
        toDate(timestamp) AS day,
        count() AS daily_count
    FROM events
    WHERE event_type = 'purchase'
        AND timestamp >= '2024-01-01'
        AND timestamp < '2024-02-01'
    GROUP BY day
    ORDER BY day ASC
)","SELECT arrayCumSum(groupArray(c)) AS cumulative FROM (SELECT toDate(timestamp) AS d, count() AS c FROM events WHERE event_type = 'purchase' AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY d ORDER BY d ASC)",485,106,0.015225,3762.5
claude-opus-4.6,t6_08,6,2,3,,,"SELECT arrayCumSum(groupArray(daily_count)) AS cumulative_purchases
FROM
(
    SELECT
        toDate(timestamp) AS day,
        count() AS daily_count
    FROM events
    WHERE event_type = 'purchase'
        AND timestamp >= '2024-01-01'
        AND timestamp < '2024-02-01'
    GROUP BY day
    ORDER BY day ASC
)","SELECT arrayCumSum(groupArray(c)) AS cumulative FROM (SELECT toDate(timestamp) AS d, count() AS c FROM events WHERE event_type = 'purchase' AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY d ORDER BY d ASC)",485,106,0.015225,3330.2
claude-opus-4.6,t6_08,6,3,3,,,"SELECT arrayCumSum(groupArray(daily_count)) AS cumulative_purchases
FROM
(
    SELECT
        toDate(timestamp) AS day,
        count() AS daily_count
    FROM events
    WHERE event_type = 'purchase'
        AND timestamp >= '2024-01-01'
        AND timestamp < '2024-02-01'
    GROUP BY day
    ORDER BY day ASC
)","SELECT arrayCumSum(groupArray(c)) AS cumulative FROM (SELECT toDate(timestamp) AS d, count() AS c FROM events WHERE event_type = 'purchase' AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY d ORDER BY d ASC)",485,106,0.015225,3875.6
claude-opus-4.6,t6_09,6,1,3,,,"SELECT
    country,
    argMaxIf(page, timestamp, event_type = 'purchase') AS page
FROM events
GROUP BY country
HAVING page != ''
ORDER BY country ASC","SELECT country, argMaxIf(page, timestamp, event_type = 'purchase') AS page FROM events GROUP BY country ORDER BY country ASC",479,53,0.01116,3114.0
claude-opus-4.6,t6_09,6,2,3,,,"SELECT
    country,
    argMaxIf(page, timestamp, event_type = 'purchase') AS page
FROM events
GROUP BY country
ORDER BY country ASC","SELECT country, argMaxIf(page, timestamp, event_type = 'purchase') AS page FROM events GROUP BY country ORDER BY country ASC",479,47,0.01071,3275.7
claude-opus-4.6,t6_09,6,3,3,,,"SELECT
    country,
    argMaxIf(page, timestamp, event_type = 'purchase') AS page
FROM events
GROUP BY country
ORDER BY country ASC","SELECT country, argMaxIf(page, timestamp, event_type = 'purchase') AS page FROM events GROUP BY country ORDER BY country ASC",479,47,0.01071,3214.9
claude-opus-4.6,t6_10,6,1,3,,,"SELECT count(DISTINCT key) AS distinct_keys
FROM events
ARRAY JOIN mapKeys(properties) AS key
WHERE event_type = 'purchase'
  AND toDate(timestamp) = '2024-03-01'",SELECT uniqExact(k) FROM events ARRAY JOIN mapKeys(properties) AS k WHERE event_type = 'purchase' AND toDate(timestamp) = '2024-03-01',480,60,0.0117,3839.7
claude-opus-4.6,t6_10,6,2,3,,,"SELECT count(DISTINCT key) AS distinct_keys
FROM events
ARRAY JOIN mapKeys(properties) AS key
WHERE event_type = 'purchase'
  AND toDate(timestamp) = '2024-03-01'",SELECT uniqExact(k) FROM events ARRAY JOIN mapKeys(properties) AS k WHERE event_type = 'purchase' AND toDate(timestamp) = '2024-03-01',480,60,0.0117,3401.0
claude-opus-4.6,t6_10,6,3,3,,,"SELECT count(DISTINCT key) AS distinct_keys
FROM events
ARRAY JOIN mapKeys(properties) AS key
WHERE event_type = 'purchase'
  AND toDate(timestamp) = '2024-03-01'",SELECT uniqExact(k) FROM events ARRAY JOIN mapKeys(properties) AS k WHERE event_type = 'purchase' AND toDate(timestamp) = '2024-03-01',480,60,0.0117,4071.0
claude-opus-4,t6_01,6,1,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function windowF","SELECT 
    countIf(funnel_level >= 1) AS users_l1,
    countIf(funnel_level >= 2) AS users_l2,
    countIf(funnel_level >= 3) AS users_l3
FROM (
    SELECT 
        user_id,
        windowFunnel(86400)(timestamp, 
            event_type = 'pageview',
            event_type = 'click',
            event_type = 'purchase'
        ) AS funnel_level
    FROM events
    GROUP BY user_id
)","SELECT countIf(lvl >= 1) AS users_l1, countIf(lvl >= 2) AS users_l2, countIf(lvl >= 3) AS users_l3 FROM (SELECT user_id, windowFunnel(86400)(toDateTime(timestamp), event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS lvl FROM events GROUP BY user_id)",517,147,0.01878,3942.8
claude-opus-4,t6_01,6,2,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function windowF","SELECT 
    countIf(funnel_level >= 1) AS users_l1,
    countIf(funnel_level >= 2) AS users_l2,
    countIf(funnel_level >= 3) AS users_l3
FROM (
    SELECT 
        user_id,
        windowFunnel(86400)(timestamp, 
            event_type = 'pageview',
            event_type = 'click',
            event_type = 'purchase'
        ) AS funnel_level
    FROM events
    GROUP BY user_id
)","SELECT countIf(lvl >= 1) AS users_l1, countIf(lvl >= 2) AS users_l2, countIf(lvl >= 3) AS users_l3 FROM (SELECT user_id, windowFunnel(86400)(toDateTime(timestamp), event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS lvl FROM events GROUP BY user_id)",517,147,0.01878,4018.4
claude-opus-4,t6_01,6,3,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function windowF","SELECT 
    countIf(funnel_level >= 1) AS users_l1,
    countIf(funnel_level >= 2) AS users_l2,
    countIf(funnel_level >= 3) AS users_l3
FROM (
    SELECT 
        user_id,
        windowFunnel(86400)(timestamp, 
            event_type = 'pageview',
            event_type = 'click',
            event_type = 'purchase'
        ) AS funnel_level
    FROM events
    GROUP BY user_id
)","SELECT countIf(lvl >= 1) AS users_l1, countIf(lvl >= 2) AS users_l2, countIf(lvl >= 3) AS users_l3 FROM (SELECT user_id, windowFunnel(86400)(toDateTime(timestamp), event_type = 'pageview', event_type = 'click', event_type = 'purchase') AS lvl FROM events GROUP BY user_id)",517,147,0.01878,4247.9
claude-opus-4,t6_02,6,1,2,Logic Error,Got: 1	1	1,"SELECT 
    r[1] AS r1,
    r[2] AS r2,
    r[3] AS r3
FROM (
    SELECT retention(
        toDate(timestamp) = '2024-01-01',
        toDate(timestamp) = '2024-01-02',
        toDate(timestamp) = '2024-01-03'
    ) AS r
    FROM events
)","SELECT countIf(r[1]) AS r1, countIf(r[2]) AS r2, countIf(r[3]) AS r3 FROM (SELECT user_id, retention(toDate(timestamp) = '2024-01-01', toDate(timestamp) = '2024-01-02', toDate(timestamp) = '2024-01-03') AS r FROM events GROUP BY user_id)",504,106,0.01551,3598.9
claude-opus-4,t6_02,6,2,2,Logic Error,Got: 1	1	1,"SELECT 
    r[1] AS r1,
    r[2] AS r2,
    r[3] AS r3
FROM (
    SELECT retention(
        toDate(timestamp) = '2024-01-01',
        toDate(timestamp) = '2024-01-02',
        toDate(timestamp) = '2024-01-03'
    ) AS r
    FROM events
)","SELECT countIf(r[1]) AS r1, countIf(r[2]) AS r2, countIf(r[3]) AS r3 FROM (SELECT user_id, retention(toDate(timestamp) = '2024-01-01', toDate(timestamp) = '2024-01-02', toDate(timestamp) = '2024-01-03') AS r FROM events GROUP BY user_id)",504,106,0.01551,3906.6
claude-opus-4,t6_02,6,3,2,Logic Error,Got: 1	1	1,"SELECT 
    r[1] AS r1,
    r[2] AS r2,
    r[3] AS r3
FROM (
    SELECT retention(
        toDate(timestamp) = '2024-01-01',
        toDate(timestamp) = '2024-01-02',
        toDate(timestamp) = '2024-01-03'
    ) AS r
    FROM events
)","SELECT countIf(r[1]) AS r1, countIf(r[2]) AS r2, countIf(r[3]) AS r3 FROM (SELECT user_id, retention(toDate(timestamp) = '2024-01-01', toDate(timestamp) = '2024-01-02', toDate(timestamp) = '2024-01-03') AS r FROM events GROUP BY user_id)",504,106,0.01551,3667.6
claude-opus-4,t6_03,6,1,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function sequenc","SELECT COUNT(DISTINCT user_id) AS users_with_signup_then_purchase
FROM events
WHERE sequenceMatch('(?1)(?t<=60)(?2)')(
    timestamp,
    event_type = 'signup',
    event_type = 'purchase'
) = 1","SELECT count() FROM (SELECT user_id FROM events GROUP BY user_id HAVING sequenceMatch('(?1)(?t<=60)(?2)')(toDateTime(timestamp), event_type = 'signup', event_type = 'purchase'))",472,77,0.012855,4189.3
claude-opus-4,t6_03,6,2,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function sequenc","SELECT COUNT(DISTINCT user_id) AS users_with_signup_then_purchase
FROM events
WHERE sequenceMatch('(?1)(?t<=60)(?2)')(
    timestamp,
    event_type = 'signup',
    event_type = 'purchase'
) = 1","SELECT count() FROM (SELECT user_id FROM events GROUP BY user_id HAVING sequenceMatch('(?1)(?t<=60)(?2)')(toDateTime(timestamp), event_type = 'signup', event_type = 'purchase'))",472,77,0.012855,4049.4
claude-opus-4,t6_03,6,3,1,Other Error,"Received exception from server (version 26.1.2):
Code: 43. DB::Exception: Received from localhost:9000. DB::Exception: Illegal type DateTime64(3, 'UTC') of first argument of aggregate function sequenc","SELECT COUNT(DISTINCT user_id) AS users_with_signup_then_purchase
FROM events
WHERE sequenceMatch('(?1)(?t<=60)(?2)')(
    timestamp,
    event_type = 'signup',
    event_type = 'purchase'
) = 1","SELECT count() FROM (SELECT user_id FROM events GROUP BY user_id HAVING sequenceMatch('(?1)(?t<=60)(?2)')(toDateTime(timestamp), event_type = 'signup', event_type = 'purchase'))",472,77,0.012855,4113.4
claude-opus-4,t6_04,6,1,3,,,"SELECT 
    u.user_id,
    e.timestamp AS first_event_time
FROM users u
ASOF LEFT JOIN events e ON u.user_id = e.user_id AND u.created_at <= e.timestamp
WHERE u.user_id BETWEEN 1 AND 20
ORDER BY u.user_id ASC","SELECT u.user_id AS user_id, e.timestamp AS first_event_time FROM users AS u ASOF JOIN events AS e ON u.user_id = e.user_id AND e.timestamp >= u.created_at WHERE u.user_id <= 20 ORDER BY u.user_id",494,88,0.01401,4037.0
claude-opus-4,t6_04,6,2,3,,,"SELECT 
    u.user_id,
    e.timestamp AS first_event_time
FROM users u
ASOF LEFT JOIN events e ON u.user_id = e.user_id AND u.created_at <= e.timestamp
WHERE u.user_id BETWEEN 1 AND 20
ORDER BY u.user_id ASC","SELECT u.user_id AS user_id, e.timestamp AS first_event_time FROM users AS u ASOF JOIN events AS e ON u.user_id = e.user_id AND e.timestamp >= u.created_at WHERE u.user_id <= 20 ORDER BY u.user_id",494,88,0.01401,3186.0
claude-opus-4,t6_04,6,3,3,,,"SELECT 
    u.user_id,
    e.timestamp AS first_event_time
FROM users u
ASOF LEFT JOIN events e ON u.user_id = e.user_id AND u.created_at <= e.timestamp
WHERE u.user_id BETWEEN 1 AND 20
ORDER BY u.user_id ASC","SELECT u.user_id AS user_id, e.timestamp AS first_event_time FROM users AS u ASOF JOIN events AS e ON u.user_id = e.user_id AND e.timestamp >= u.created_at WHERE u.user_id <= 20 ORDER BY u.user_id",494,88,0.01401,3227.0
claude-opus-4,t6_05,6,1,3,,,"SELECT 
    event_type,
    event_id,
    timestamp
FROM events
ORDER BY event_type ASC, timestamp DESC
LIMIT 2 BY event_type","SELECT event_type, event_id, timestamp FROM events ORDER BY event_type ASC, timestamp DESC LIMIT 2 BY event_type",485,49,0.01095,2569.3
claude-opus-4,t6_05,6,2,3,,,"SELECT 
    event_type,
    event_id,
    timestamp
FROM events
ORDER BY event_type ASC, timestamp DESC
LIMIT 2 BY event_type","SELECT event_type, event_id, timestamp FROM events ORDER BY event_type ASC, timestamp DESC LIMIT 2 BY event_type",485,49,0.01095,2525.9
claude-opus-4,t6_05,6,3,3,,,"SELECT 
    event_type,
    event_id,
    timestamp
FROM events
ORDER BY event_type ASC, timestamp DESC
LIMIT 2 BY event_type","SELECT event_type, event_id, timestamp FROM events ORDER BY event_type ASC, timestamp DESC LIMIT 2 BY event_type",485,49,0.01095,2870.2
claude-opus-4,t6_06,6,1,2,Logic Error,"Got: 2024-01-01	\N
2024-01-02	\N
2024-01-03	9979
2024-01-04	9979
2024-01-05	9974
2024-01-06	9974
2024-01-","SELECT 
    toDate(timestamp) AS day,
    sum(revenue_cents) AS revenue
FROM events
WHERE event_type = 'purchase' 
    AND revenue_cents > 9950
    AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31'
GROUP BY day
ORDER BY day ASC WITH FILL 
    FROM toDate('2024-01-01') 
    TO toDate('2024-01-31') 
    STEP INTERVAL 1 DAY
    INTERPOLATE (revenue AS revenue)","SELECT toDate(timestamp) AS day, sum(revenue_cents) AS revenue FROM events WHERE event_type = 'purchase' AND revenue_cents > 9950 AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY day ORDER BY day ASC WITH FILL FROM toDate('2024-01-01') TO toDate('2024-02-01') INTERPOLATE (revenue AS revenue)",517,144,0.018555,4124.3
claude-opus-4,t6_06,6,2,2,Logic Error,"Got: 2024-01-01	\N
2024-01-02	\N
2024-01-03	9979
2024-01-04	9979
2024-01-05	9974
2024-01-06	9974
2024-01-","SELECT 
    toDate(timestamp) AS day,
    sum(revenue_cents) AS revenue
FROM events
WHERE event_type = 'purchase' 
    AND revenue_cents > 9950
    AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31'
GROUP BY day
ORDER BY day ASC WITH FILL 
    FROM toDate('2024-01-01') 
    TO toDate('2024-01-31') 
    STEP INTERVAL 1 DAY
    INTERPOLATE (revenue AS revenue)","SELECT toDate(timestamp) AS day, sum(revenue_cents) AS revenue FROM events WHERE event_type = 'purchase' AND revenue_cents > 9950 AND toDate(timestamp) BETWEEN '2024-01-01' AND '2024-01-31' GROUP BY day ORDER BY day ASC WITH FILL FROM toDate('2024-01-01') TO toDate('2024-02-01') INTERPOLATE (revenue AS revenue)",517,144,0.018555,4458.2
