model,question_id,run,failure_type,rule
claude-opus-4,t3_06,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t3_06,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t3_06,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t3_10,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t3_10,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t3_10,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t4_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t4_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t4_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t4_04,1,format_mismatch,identical after normalization/sorting
claude-opus-4,t4_04,2,format_mismatch,identical after normalization/sorting
claude-opus-4,t4_04,3,format_mismatch,identical after normalization/sorting
claude-opus-4,t4_06,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t4_06,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t4_06,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t4_10,1,format_mismatch,identical after normalization/sorting
claude-opus-4,t4_10,2,format_mismatch,identical after normalization/sorting
claude-opus-4,t4_10,3,format_mismatch,identical after normalization/sorting
claude-opus-4,t5_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_06,1,format_mismatch,identical after normalization/sorting
claude-opus-4,t5_06,2,format_mismatch,identical after normalization/sorting
claude-opus-4,t5_06,3,format_mismatch,identical after normalization/sorting
claude-opus-4,t5_07,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t5_07,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t5_07,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-opus-4,t5_08,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_08,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_08,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-opus-4,t5_10,1,logic_error,empty result
claude-opus-4,t5_10,2,logic_error,empty result
claude-opus-4,t5_10,3,logic_error,empty result
claude-sonnet-4.5,t2_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t2_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t2_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t2_10,1,format_mismatch,"same columns after overlap matching, formatting/order differs"
claude-sonnet-4.5,t2_10,2,format_mismatch,"same columns after overlap matching, formatting/order differs"
claude-sonnet-4.5,t2_10,3,format_mismatch,"same columns after overlap matching, formatting/order differs"
claude-sonnet-4.5,t3_03,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t3_03,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t3_03,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t3_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t3_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t3_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t3_06,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t3_06,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t3_06,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t3_10,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t3_10,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t3_10,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t4_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_04,1,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t4_04,2,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t4_04,3,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t4_05,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_05,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_05,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_06,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t4_06,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t4_06,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t4_09,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_09,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_09,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t4_10,1,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t4_10,2,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t4_10,3,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t5_01,1,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t5_01,2,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t5_01,3,format_mismatch,row subset (LIMIT/ordering difference)
claude-sonnet-4.5,t5_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_05,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_05,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_05,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_06,1,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t5_06,2,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t5_06,3,format_mismatch,identical after normalization/sorting
claude-sonnet-4.5,t5_07,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_07,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_07,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_08,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_08,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_08,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
claude-sonnet-4.5,t5_10,1,logic_error,results differ structurally
claude-sonnet-4.5,t5_10,2,logic_error,results differ structurally
claude-sonnet-4.5,t5_10,3,logic_error,results differ structurally
deepseek-v3.2,t2_07,1,logic_error,results differ structurally
deepseek-v3.2,t2_07,2,logic_error,results differ structurally
deepseek-v3.2,t2_07,3,logic_error,results differ structurally
deepseek-v3.2,t2_10,2,format_mismatch,"same columns after overlap matching, formatting/order differs"
deepseek-v3.2,t2_10,3,format_mismatch,"same columns after overlap matching, formatting/order differs"
deepseek-v3.2,t3_03,1,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t3_03,2,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t3_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t3_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t3_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t3_06,1,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t3_06,2,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t3_06,3,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t3_07,2,logic_error,results differ structurally
deepseek-v3.2,t3_10,1,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t3_10,2,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t3_10,3,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t4_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t4_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t4_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t4_04,1,format_mismatch,"same columns after overlap matching, formatting/order differs"
deepseek-v3.2,t4_04,2,format_mismatch,identical after normalization/sorting
deepseek-v3.2,t4_04,3,format_mismatch,identical after normalization/sorting
deepseek-v3.2,t4_06,1,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t4_06,2,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t4_06,3,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t4_08,1,column_mismatch,"2/3 columns overlap >=80%, column count differs"
deepseek-v3.2,t4_08,2,column_mismatch,"2/3 columns overlap >=80%, column count differs"
deepseek-v3.2,t4_08,3,column_mismatch,"2/3 columns overlap >=80%, column count differs"
deepseek-v3.2,t4_10,1,format_mismatch,identical after normalization/sorting
deepseek-v3.2,t4_10,2,format_mismatch,identical after normalization/sorting
deepseek-v3.2,t4_10,3,format_mismatch,identical after normalization/sorting
deepseek-v3.2,t5_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_01,2,column_mismatch,"3/4 columns overlap >=80%, column count differs"
deepseek-v3.2,t5_01,3,logic_error,results differ structurally
deepseek-v3.2,t5_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_05,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_05,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_05,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_06,1,format_mismatch,identical after normalization/sorting
deepseek-v3.2,t5_06,2,format_mismatch,identical after normalization/sorting
deepseek-v3.2,t5_06,3,format_mismatch,identical after normalization/sorting
deepseek-v3.2,t5_07,1,format_mismatch,row subset (LIMIT/ordering difference)
deepseek-v3.2,t5_07,2,logic_error,results differ structurally
deepseek-v3.2,t5_07,3,logic_error,results differ structurally
deepseek-v3.2,t5_08,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_08,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
deepseek-v3.2,t5_08,3,logic_error,results differ structurally
deepseek-v3.2,t5_09,2,logic_error,results differ structurally
gemini-3-flash,t2_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t2_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t2_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t3_03,1,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t3_03,2,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t3_03,3,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t3_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t3_04,2,logic_error,results differ structurally
gemini-3-flash,t3_04,3,logic_error,results differ structurally
gemini-3-flash,t3_06,1,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t3_06,2,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t3_06,3,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t3_10,1,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t3_10,2,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t3_10,3,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t4_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_04,2,format_mismatch,identical after normalization/sorting
gemini-3-flash,t4_04,3,format_mismatch,identical after normalization/sorting
gemini-3-flash,t4_05,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_05,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_05,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_06,1,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t4_06,2,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t4_06,3,format_mismatch,row subset (LIMIT/ordering difference)
gemini-3-flash,t4_08,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_08,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_08,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_09,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_09,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_09,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_10,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_10,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t4_10,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t5_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t5_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t5_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t5_02,1,format_mismatch,identical after normalization/sorting
gemini-3-flash,t5_02,2,format_mismatch,identical after normalization/sorting
gemini-3-flash,t5_02,3,format_mismatch,identical after normalization/sorting
gemini-3-flash,t5_04,1,logic_error,results differ structurally
gemini-3-flash,t5_04,2,logic_error,results differ structurally
gemini-3-flash,t5_04,3,logic_error,results differ structurally
gemini-3-flash,t5_05,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t5_05,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t5_05,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gemini-3-flash,t5_06,1,format_mismatch,identical after normalization/sorting
gemini-3-flash,t5_06,2,format_mismatch,identical after normalization/sorting
gemini-3-flash,t5_06,3,format_mismatch,identical after normalization/sorting
gemini-3-flash,t5_07,1,logic_error,results differ structurally
gemini-3-flash,t5_07,2,logic_error,results differ structurally
gemini-3-flash,t5_07,3,logic_error,results differ structurally
gemini-3-flash,t5_10,1,logic_error,results differ structurally
gemini-3-flash,t5_10,2,logic_error,results differ structurally
gemini-3-flash,t5_10,3,logic_error,results differ structurally
gpt-5.2,t2_10,1,format_mismatch,"same columns after overlap matching, formatting/order differs"
gpt-5.2,t2_10,3,format_mismatch,"same columns after overlap matching, formatting/order differs"
gpt-5.2,t3_01,1,format_mismatch,scalar within 5% (approx vs exact aggregate)
gpt-5.2,t3_01,2,format_mismatch,scalar within 5% (approx vs exact aggregate)
gpt-5.2,t3_01,3,format_mismatch,scalar within 5% (approx vs exact aggregate)
gpt-5.2,t3_03,1,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t3_03,2,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t3_03,3,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t3_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t3_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t3_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t3_06,1,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t3_06,2,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t3_06,3,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t3_07,1,logic_error,results differ structurally
gpt-5.2,t3_07,2,logic_error,results differ structurally
gpt-5.2,t3_07,3,logic_error,results differ structurally
gpt-5.2,t3_09,1,logic_error,results differ structurally
gpt-5.2,t3_09,2,logic_error,results differ structurally
gpt-5.2,t3_10,1,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t3_10,2,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t3_10,3,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t4_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t4_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t4_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t4_04,1,format_mismatch,identical after normalization/sorting
gpt-5.2,t4_04,2,format_mismatch,identical after normalization/sorting
gpt-5.2,t4_04,3,format_mismatch,identical after normalization/sorting
gpt-5.2,t4_06,1,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t4_06,2,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t4_06,3,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t4_08,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t4_08,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t4_08,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t4_10,1,format_mismatch,identical after normalization/sorting
gpt-5.2,t4_10,3,format_mismatch,identical after normalization/sorting
gpt-5.2,t5_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t5_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t5_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t5_02,3,format_mismatch,row subset (LIMIT/ordering difference)
gpt-5.2,t5_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t5_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t5_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t5_07,1,logic_error,results differ structurally
gpt-5.2,t5_07,2,logic_error,results differ structurally
gpt-5.2,t5_07,3,logic_error,results differ structurally
gpt-5.2,t5_08,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
gpt-5.2,t5_10,1,logic_error,results differ structurally
gpt-5.2,t5_10,2,logic_error,results differ structurally
gpt-5.2,t5_10,3,logic_error,results differ structurally
kimi-k2.5,t2_07,1,logic_error,results differ structurally
kimi-k2.5,t2_07,2,logic_error,results differ structurally
kimi-k2.5,t3_01,1,format_mismatch,scalar within 5% (approx vs exact aggregate)
kimi-k2.5,t3_03,1,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t3_03,2,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t3_03,3,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t3_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t3_04,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t3_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t3_06,1,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t3_06,2,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t3_06,3,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t3_10,1,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t3_10,2,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t3_10,3,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t4_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t4_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t4_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t4_04,1,format_mismatch,"same columns after overlap matching, formatting/order differs"
kimi-k2.5,t4_04,2,format_mismatch,identical after normalization/sorting
kimi-k2.5,t4_04,3,format_mismatch,"same columns after overlap matching, formatting/order differs"
kimi-k2.5,t4_05,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t4_06,1,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t4_06,2,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t4_06,3,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t4_08,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t4_08,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t4_08,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t4_09,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t4_10,3,format_mismatch,identical after normalization/sorting
kimi-k2.5,t5_01,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t5_01,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t5_01,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t5_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t5_04,2,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t5_04,3,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t5_05,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t5_06,1,format_mismatch,identical after normalization/sorting
kimi-k2.5,t5_06,2,format_mismatch,identical after normalization/sorting
kimi-k2.5,t5_07,1,logic_error,results differ structurally
kimi-k2.5,t5_07,2,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t5_07,3,format_mismatch,row subset (LIMIT/ordering difference)
kimi-k2.5,t5_08,2,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t5_08,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
kimi-k2.5,t5_09,1,logic_error,results differ structurally
kimi-k2.5,t5_09,3,logic_error,results differ structurally
kimi-k2.5,t5_10,1,column_mismatch,"1/2 columns overlap >=80%, column count differs"
kimi-k2.5,t5_10,2,logic_error,results differ structurally
kimi-k2.5,t5_10,3,logic_error,results differ structurally
minimax-m2.5,t2_04,1,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
minimax-m2.5,t2_04,3,column_mismatch,"extra/missing columns, shared columns overlap >=80%"
